 | condition                  | state                 | city                            | postalCode  | country | address1                        | address2                        | firstName     | lastName         | neighborhood | phoneNumber  |
 | INTL_address               | Alagoas               | Maceió                          | 57082-390   | BR      | Rua Ismael Acioly 1358          |                                 | Lucas         | Pereira          |              | +55828319324 |
 | MX_address                 | BN                    | Ensenada                        | 22880       | MX      | 144 Blvd Costero                |                                 | Carlos        | Carlitos         | Ensenada     | +52364741174 |
 | CA_address                 | BC                    | Sechelt                         | V0N 3A0     | CA      | 3848 Brew Creek Rd              |                                 | Canadian      | Citizen          |              | +16042122644 |
 | US_address                 | CO                    | Denver                          | 80211       | US      | 3122 W 38th Ave                 |                                 | US            | Citizen          |              | +16364741174 |
 | BOPIS_CA                   | BC                    | West Vancouver                  | V7T 1M4     | CA      | 824 Keith Rd                    |                                 | Pera          | Peric            |              |              |
 | BOPIS_US                   | PA                    | Pittsburgh                      | 15203       | US      | 77 Hot Metal St                 |                                 | Pera          | Peric            |              |              |
 | SDD_In_MaybeZone           | PA                    | Pittsburgh                      | 15210       | US      | 2626 Salisbury St               |                                 | Pera          | Peric            |              |              |
 | SDD_Out_MaybeZone          | PA                    | Pittsburgh                      | 15210       | US      | 313 Sprucewood Str              |                                 | Pera          | Peric            |              |              |
 | SDD_Invalid_MaybeZone      | PA                    | Pittsburgh                      | 15210       | US      | fsdafd                          |                                 | Pera          | Peric            |              |              |
 | SDD_Valid_YesZone          | PA                    | Pittsburgh                      | 15237       | US      | 207 Pittview Rd                 |                                 | Pera          | Peric            |              |              |
 | SDD_Invalid_YesZone        | PA                    | Pittsburgh                      | 15237       | US      | fsdafd                          |                                 | Pera          | Peric            |              |              |
 | SDD_Valid_NoZone           | PA                    | Pittsburgh                      | 15216       | US      | 221 Valley Park Dr              |                                 | Pera          | Peric            |              |              |
 | Hawaii                     | HI                    | Honolulu                        | 96825       | US      | 6370 Hawaii Kai Dr              | APT 49                          | Test          | User             |              |              |
 | Guam                       | GU                    | Tamuning                        | 96913       | US      | 1328 Pale San Vitores Rd        | APT 48                          | First         | Laster           |              |              |
 | POBOX_Address              | IL                    | Chicago                         | 60660       | US      | 60612 Po Box                    |                                 | First         | Laster           |              |              |
 | Iowa                       | IA                    | Albion                          | 50005       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Kansas                     | KS                    | Kansas City                     | 66101       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Kentucky                   | KY                    | Bagdad                          | 40003       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Louisiana                  | LA                    | Metairie                        | 70001       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Maine                      | ME                    | Portland                        | 04109       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Maryland                   | MD                    | Annapolis Junction              | 20701       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Massachusetts              | MA                    | Agawam                          | 01001       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Michigan                   | MI                    | Berlin                          | 48002       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Minnesota                  | MN                    | Saint Paul                      | 55123       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Mississippi                | MS                    | Abbeville                       | 38601       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Missouri                   | MO                    | St. Louis                       | 63101       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Montana                    | MT                    | Billings                        | 59103       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Nebraska                   | NE                    | Omaha                           | 68410       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | Nevada                     | NV                    | Las Vegas                       | 89127       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | New Hampshire              | NH                    | Manchester                      | 03101       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | New Jersey                 | NJ                    | New Jersey                      | 07097       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
 | New Mexico                 | NM                    | Algodones                       | 87001       | US      | address line 1                  | address line 2                  | First         | Laster           |              |              |
